Apr  9 21:31:24	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.101
Apr  9 21:59:05	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr  9 21:59:05	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr  9 21:59:05	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr  9 21:59:05	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr  9 23:28:17	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr  9 23:28:17	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr  9 23:28:17	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr  9 23:28:17	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 10 03:02:48	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 70:F9:27:50:CF:80
Apr 10 03:02:48	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.103
Apr 10 06:47:55	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 10 06:47:55	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 10 06:47:55	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 10 06:47:55	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 10 08:27:19	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from B8:08:D7:E1:94:14
Apr 10 08:27:19	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Apr 10 08:27:19	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from B8:08:D7:E1:94:14
Apr 10 08:27:19	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Apr 10 18:01:04	 OTHER     	INFO   	Mail successfully.
Apr 10 19:02:49	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 70:F9:27:50:CF:80
Apr 10 19:02:49	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.103
Apr 10 19:34:31	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from B8:08:D7:E1:94:14
Apr 10 19:34:31	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Apr 10 19:34:31	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from B8:08:D7:E1:94:14
Apr 10 19:34:31	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Apr 10 20:19:58	 DHCP      	NOTICE 	DHCPS:Recv DISCOVER from 90:CD:B6:26:77:B8
Apr 10 20:19:58	 DHCP      	ERROR  	DHCPS:lease host name not found
Apr 10 20:19:58	 DHCP      	NOTICE 	DHCPS:Send OFFER with ip 192.168.0.101
Apr 10 20:19:58	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 90:CD:B6:26:77:B8
Apr 10 20:19:58	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.101
Apr 11 11:02:49	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 70:F9:27:50:CF:80
Apr 11 11:02:49	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.103
