
####################################################################
# 			       TL-WR1043ND  System Log 
# Time = 2019-05-05  8:22:27 267s
# H-Ver = WR1043ND v1 00000000 : S-Ver = 3.13.15 Build 140319 Rel.41339n 
# L = 192.168.0.1 : M = 255.255.255.0
# W1 = STATIC IP : W = 192.168.5.6 : M = 255.255.255.0 : G = 192.168.5.1
####################################################################

Apr 13 07:01:50	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 13 07:01:50	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 13 07:01:50	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 13 07:01:50	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 13 08:35:28	 DHCP      	NOTICE 	DHCPS:Recv DISCOVER from 90:CD:B6:26:77:B8
Apr 13 08:35:28	 DHCP      	ERROR  	DHCPS:lease host name not found
Apr 13 08:35:28	 DHCP      	NOTICE 	DHCPS:Send OFFER with ip 192.168.0.101
Apr 13 08:35:28	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 90:CD:B6:26:77:B8
Apr 13 08:35:28	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.101
Apr 13 10:44:18	 DHCP      	NOTICE 	DHCPS:Recv DISCOVER from 90:CD:B6:26:77:B8
Apr 13 10:44:18	 DHCP      	ERROR  	DHCPS:lease host name not found
Apr 13 10:44:18	 DHCP      	NOTICE 	DHCPS:Send OFFER with ip 192.168.0.101
Apr 13 10:44:18	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 90:CD:B6:26:77:B8
Apr 13 10:44:18	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.101
Apr 13 11:02:50	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 70:F9:27:50:CF:80
Apr 13 11:02:50	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.103
Apr 13 16:25:46	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from B8:08:D7:E1:94:14
Apr 13 16:25:46	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Apr 13 16:25:46	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from B8:08:D7:E1:94:14
Apr 13 16:25:46	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Apr 13 17:39:03	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 13 17:39:03	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 13 17:39:03	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 13 17:39:03	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 13 17:39:10	 DHCP      	NOTICE 	DHCPS:Recv DISCOVER from 90:CD:B6:26:77:B8
Apr 13 17:39:10	 DHCP      	ERROR  	DHCPS:lease host name not found
Apr 13 17:39:10	 DHCP      	NOTICE 	DHCPS:Send OFFER with ip 192.168.0.101
Apr 13 17:39:10	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 90:CD:B6:26:77:B8
Apr 13 17:39:10	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.101
Apr 13 18:00:04	 OTHER     	INFO   	Mail successfully.
Apr 13 19:34:16	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 13 19:34:16	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 13 19:34:16	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 13 19:34:16	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 13 19:44:36	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 13 19:44:36	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 13 19:44:36	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 13 19:44:36	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 13 21:22:52	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 13 21:22:52	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 13 21:22:52	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 14:9D:09:94:89:C6
Apr 13 21:22:52	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.102
Apr 14 03:02:50	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 70:F9:27:50:CF:80
Apr 14 03:02:50	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.103
Apr 14 09:05:46	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from B8:08:D7:E1:94:14
Apr 14 09:05:46	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.100
Apr 14 09:20:49	 DHCP      	NOTICE 	DHCPS:Recv DISCOVER from 90:CD:B6:26:77:B8
Apr 14 09:20:49	 DHCP      	ERROR  	DHCPS:lease host name not found
Apr 14 09:20:49	 DHCP      	NOTICE 	DHCPS:Send OFFER with ip 192.168.0.101
Apr 14 09:20:49	 DHCP      	NOTICE 	DHCPS:Recv REQUEST from 90:CD:B6:26:77:B8
Apr 14 09:20:49	 DHCP      	NOTICE 	DHCPS:Send ACK to 192.168.0.101
Apr 14 13:05:25	 DHCP      	NOTICE 	DHCPS:Recv DISCOVER from 90:CD:B6:26:77:B8
Apr 14 13:05:25	 DHCP      	ERROR  	DHCPS:lease host name not found
